,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,b1,b2,b3,b4,b5,r1,r2,r3,r4,r5
0,Irelia,RekSai,Ahri,Jinx,Janna,Gnar,Elise,Fizz,Sivir,Thresh,Rumble, Kassadin, Lissandra,,,Tristana, Leblanc, Nidalee,,
1,Gnar,Rengar,Ahri,Caitlyn,Leona,Irelia,JarvanIV,Azir,Corki,Annie,Kassadin, Sivir, Lissandra,,,RekSai, Janna, Leblanc,,
2,Renekton,Rengar,Fizz,Sivir,Annie,Sion,LeeSin,Azir,Corki,Janna,JarvanIV, Lissandra, Kassadin,,,Leblanc, Zed, RekSai,,
3,Irelia,JarvanIV,Leblanc,Sivir,Thresh,Gnar,Nunu,Lulu,KogMaw,Janna,Annie, Lissandra, Kassadin,,,RekSai, Rumble, LeeSin,,
4,Gnar,JarvanIV,Lissandra,Tristana,Janna,Sion,RekSai,Lulu,Corki,Annie,Irelia, Pantheon, Kassadin,,,Rumble, Sivir, Rengar,,
5,Kassadin,Rengar,Leblanc,Sivir,Annie,Gnar,JarvanIV,Lulu,Corki,Thresh,LeeSin, Rumble, Janna,,,Azir, RekSai, Lissandra,,
6,Irelia,JarvanIV,Xerath,Corki,Janna,Renekton,LeeSin,Leblanc,Tristana,Nami,Zed, Sivir, Annie,,,RekSai, Gnar, Kassadin,,
7,Renekton,JarvanIV,Azir,Caitlyn,Annie,Rumble,Rengar,Leblanc,Sivir,Blitzcrank,Lissandra, Janna, Kassadin,,,Nunu, Gnar, RekSai,,
8,Sion,RekSai,Orianna,KogMaw,Janna,Kassadin,Vi,Zed,Corki,Morgana,JarvanIV, Gnar, Sivir,,,Rumble, Lissandra, Fizz,,
9,Irelia,Nocturne,Orianna,Sivir,Nami,Gnar,Rengar,Leblanc,Graves,Morgana,Rumble, Janna, Kassadin,,,RekSai, JarvanIV, Lissandra,,
10,Gnar,JarvanIV,Azir,Corki,Morgana,Lulu,LeeSin,Xerath,Ezreal,Janna,Irelia, Annie, Sivir,,,RekSai, Lissandra, Kassadin,,
11,Jax,JarvanIV,Kassadin,Graves,Morgana,Gnar,RekSai,Ahri,Corki,Thresh,Janna, Rumble,,,,Nocturne, Sivir, Irelia,,
12,Irelia,Vi,Lissandra,Kalista,Annie,Gnar,JarvanIV,Ahri,Sivir,Leona,Azir, Lulu, Cassiopeia,,,Rumble, Kassadin, RekSai,,
13,Lulu,LeeSin,Xerath,Corki,Janna,Sion,JarvanIV,Cassiopeia,Kalista,Blitzcrank,Azir, Kassadin, Lissandra,,,RekSai, Leblanc, Rumble,,
14,Maokai,JarvanIV,Leblanc,Kalista,Annie,Lulu,Rengar,Morgana,Tristana,Janna,Kassadin, Sivir, Lissandra,,,RekSai, Irelia, Rumble,,
15,Rumble,Vi,Zed,Caitlyn,Morgana,Gnar,RekSai,Leblanc,Corki,Janna,Annie, Kassadin, Kalista,,,JarvanIV, Cassiopeia, Lissandra,,
16,Gnar,JarvanIV,Azir,KogMaw,Nami,Maokai,LeeSin,Zed,Sivir,Janna,Kalista, Lissandra, Annie,,,RekSai, Kassadin, Corki,,
17,Lissandra,JarvanIV,Xerath,Tristana,Morgana,Gnar,Nunu,Ahri,Caitlyn,Janna,Cassiopeia, Annie, Sivir,,,Kalista, Rumble, Kassadin,,
18,Gnar,LeeSin,Leblanc,KogMaw,Nami,Malphite,JarvanIV,Orianna,Graves,Janna,Irelia, Jax, Sivir,,,Rumble, Kassadin, Lissandra,,
19,Sion,Rengar,Ahri,Sivir,Janna,Lissandra,JarvanIV,Corki,Kalista,Thresh,Zed, Azir, Kassadin,,,Irelia, Gnar, Xerath,,
20,Lulu,RekSai,Corki,Kalista,Morgana,Rumble,LeeSin,Ahri,Graves,Annie,Leblanc, Xerath, Azir,,,JarvanIV, Kassadin, Lissandra,,
21,Maokai,Vi,Kassadin,Graves,Annie,Irelia,JarvanIV,Corki,Sivir,Leona,Nidalee, Leblanc, Ahri,,,Kalista, Rumble, Lissandra,,
22,RekSai,Vi,Azir,Corki,Thresh,Maokai,LeeSin,Xerath,Sivir,Morgana,Rumble, Kassadin, Annie,,,JarvanIV, Lissandra, Ahri,,
23,Lissandra,RekSai,Xerath,Vayne,Nami,Sion,JarvanIV,Cassiopeia,Sivir,Morgana,Irelia, Ahri, Gnar,,,Kalista, Kassadin, Annie,,
24,Gnar,JarvanIV,Kassadin,Sivir,Janna,Irelia,Vi,Nidalee,Jinx,Morgana,Kalista, Annie, Blitzcrank,,,Maokai, Lissandra, Leblanc,,
25,Rumble,Vi,Leblanc,Graves,Morgana,Maokai,JarvanIV,Xerath,Lucian,Janna,Ahri, Irelia, Gnar,,,Kassadin, Lissandra, Kalista,,
26,Lissandra,LeeSin,Ezreal,Sivir,Alistar,Irelia,Vi,Azir,Corki,Janna,Kassadin, JarvanIV, Morgana,,,Ahri, Annie, Kalista,,
27,Maokai,Vi,Ezreal,Vayne,Annie,Rumble,JarvanIV,Ahri,Sivir,Morgana,Thresh, Irelia, Gnar,,,Lissandra, RekSai, Kassadin,,
28,Jax,RekSai,Lissandra,Graves,Morgana,Gnar,LeeSin,Lulu,Kalista,Annie,Zed, Janna, Maokai,,,Kassadin, JarvanIV, Irelia,,
29,Sion,Vi,Ahri,Jinx,Janna,Maokai,LeeSin,Yasuo,Graves,Morgana,Rumble, Leblanc, Sivir,,,Kalista, JarvanIV, Lissandra,,
30,Irelia,RekSai,Leblanc,Kalista,Thresh,Sion,JarvanIV,Nidalee,Jinx,Morgana,Vi, Lissandra, Ahri,,,Xerath, Maokai, Gnar,,
31,Lissandra,Vi,Kassadin,Graves,Morgana,Maokai,RekSai,Ezreal,Sivir,Leona,LeeSin, Nidalee, Kalista,,,Ahri, JarvanIV, Rengar,,
32,Gnar,JarvanIV,Leblanc,Sivir,Thresh,Maokai,Nidalee,Zed,Kalista,Janna,Lissandra, Rumble, Morgana,,,Ahri, Annie, Kassadin,,
33,Maokai,RekSai,Kassadin,Draven,Thresh,Rumble,JarvanIV,Ahri,Graves,Leona,Annie, Janna, Lissandra,,,Irelia, Morgana, Nidalee,,
34,Maokai,JarvanIV,Xerath,Graves,Braum,Lissandra,Vi,Zed,Sivir,Janna,Ahri, Leblanc, Nidalee,,,Corki, Morgana, Kalista,,
35,Lissandra,RekSai,Ahri,Graves,Leona,Maokai,Vi,Kassadin,Lucian,Janna,Kalista, Nidalee, Rumble,,,Morgana, Annie, Gnar,,
36,Rumble,Vi,Lissandra,Jinx,Morgana,Gnar,JarvanIV,Xerath,Graves,Thresh,Irelia, Kassadin, Kalista,,,Ahri, LeeSin, Leblanc,,
37,Gnar,Vi,Lissandra,Corki,Janna,Sion,JarvanIV,Ahri,Sivir,Annie,Xerath, Leblanc, Maokai,,,Rumble, Morgana, Nidalee,,
38,Maokai,Vi,Zed,Graves,Thresh,Swain,JarvanIV,Azir,Tristana,Janna,Nidalee, Ahri, Leblanc,,,Morgana, Corki, Lissandra,,
39,Renekton,LeeSin,Kassadin,Corki,Annie,Maokai,Vi,Orianna,Sivir,Morgana,Irelia, Nidalee, Lissandra,,,JarvanIV, Ahri, Rumble,,
40,Fizz,RekSai,Xerath,Jinx,Janna,Maokai,Vi,Leblanc,Graves,Annie,Kalista, Zed, Ahri,,,Lissandra, Rumble, Morgana,,
41,Gnar,RekSai,Ahri,Graves,Annie,Maokai,Nunu,Kassadin,Sivir,Morgana,Vi, Zed, JarvanIV,,,Nidalee, Irelia, Lissandra,,
42,Maokai,Nidalee,Zed,Corki,Veigar,DrMundo,LeeSin,Leblanc,Graves,Thresh,Morgana, Kassadin, Kennen,,,Lissandra, Kalista, Rumble,,
43,Rumble,RekSai,Kassadin,Lucian,Morgana,Maokai,Vi,Ahri,Tristana,Braum,Kalista, Nidalee, Lissandra,,,Annie, JarvanIV, Sivir,,
44,Maokai,Vi,Ahri,Jinx,Janna,Kassadin,RekSai,Zed,Sivir,Blitzcrank,Irelia, Morgana, JarvanIV,,,Lissandra, Kalista, Annie,,
45,Rumble,RekSai,Zed,Corki,Braum,Maokai,JarvanIV,Ahri,Sivir,Thresh,Morgana, Nidalee, Cassiopeia,,,Veigar, Annie, Lissandra,,
46,Irelia,RekSai,Lissandra,Corki,Annie,Rumble,JarvanIV,Cassiopeia,Jinx,Janna,Kalista, Maokai, Zed,,,Fizz, Morgana, Vi,,
47,Sion,RekSai,Ahri,Graves,Janna,Renekton,JarvanIV,Kassadin,Sivir,Thresh,Rumble, Morgana, Annie,,,Maokai, Zed, Lissandra,,
48,Maokai,RekSai,Ahri,Graves,Janna,Irelia,JarvanIV,Leblanc,Sivir,Thresh,Nidalee, Morgana, Rumble,,,Zed, Lissandra, Kassadin,,
49,Morgana,RekSai,Lulu,Sivir,Janna,DrMundo,Nunu,Zed,Corki,Braum,Maokai, JarvanIV, Kassadin,,,Ahri, Rumble, Lissandra,,
50,Gnar,JarvanIV,Syndra,Graves,Morgana,Maokai,RekSai,Zed,Corki,Braum,Kassadin, Rumble, Veigar,,,Lissandra, Nidalee, Hecarim,,
51,Fizz,RekSai,Leblanc,Graves,Nami,Maokai,JarvanIV,Ezreal,Corki,Janna,Morgana, Rumble, Lulu,,,Lissandra, Sivir, Irelia,,
52,Kennen,RekSai,Lissandra,Corki,Braum,Hecarim,Nidalee,Viktor,Graves,Morgana,Thresh, Zed, Maokai,,,Janna, Annie, Rumble,,
53,Maokai,RekSai,Lissandra,Sivir,Janna,Renekton,Vi,Ezreal,Graves,Morgana,Kassadin, Rumble, Thresh,,,JarvanIV, Nidalee, Veigar,,
54,Maokai,JarvanIV,Ezreal,Kalista,Thresh,Hecarim,RekSai,Kassadin,Corki,Janna,Zed, Annie, Sion,,,Lissandra, Rumble, Nidalee,,
55,Maokai,RekSai,Kassadin,Graves,Veigar,Rumble,Rengar,Ezreal,Corki,Annie,Irelia, JarvanIV, Morgana,,,Lissandra, Fizz, Zed,,
56,Maokai,Nidalee,Zed,Corki,Morgana,Gnar,JarvanIV,Leblanc,Kalista,Thresh,Annie, RekSai, Hecarim,,,Lissandra, Rumble, Veigar,,
57,Morgana,LeeSin,Kassadin,Graves,Leona,Irelia,RekSai,Leblanc,Corki,Annie,Veigar, Maokai, Janna,,,Lissandra, Rumble, Kennen,,
58,Rumble,Nidalee,Ezreal,Tristana,Braum,Morgana,RekSai,Zed,Jinx,Janna,Kennen, Annie, Irelia,,,Kalista, Lissandra, Maokai,,
59,Gragas,RekSai,Zed,Sivir,Morgana,Maokai,FiddleSticks,Ahri,Ezreal,Annie,Rumble, Kassadin, JarvanIV,,,Leblanc, Irelia, Lissandra,,
60,Rumble,Vi,Ahri,Sivir,Annie,Kennen,LeeSin,Leblanc,Corki,Leona,Nidalee, JarvanIV, Morgana,,,Lissandra, RekSai, Maokai,,
61,Lissandra,Sejuani,Viktor,Graves,Janna,Hecarim,RekSai,Lulu,Jinx,Thresh,Kalista, Rumble, Kennen,,,Morgana, Zed, Maokai,,
62,Kennen,JarvanIV,Viktor,Corki,Leona,Lulu,RekSai,Zed,Sivir,Thresh,Janna, Rumble, Morgana,,,Lissandra, Maokai, Nami,,
63,Kennen,LeeSin,Karthus,Graves,Leona,Lulu,Vi,Zed,Corki,Braum,Nidalee, Maokai, Morgana,,,Lissandra, Rumble, RekSai,,
64,Kennen,JarvanIV,Zed,Kalista,Thresh,Rumble,Vi,Leblanc,Graves,Janna,Irelia, Maokai, Nidalee,,,Lissandra, Morgana, RekSai,,
65,Lissandra,Sejuani,Kennen,Graves,Morgana,JarvanIV,RekSai,Ahri,Corki,Annie,Sivir, Lulu, Rumble,,,Nidalee, Maokai, Zed,,
66,Rumble,Nidalee,Lissandra,Sivir,Annie,Gragas,RekSai,Orianna,Lucian,Janna,Irelia, Leblanc, Morgana,,,Zed, Ahri, Maokai,,
67,Kennen,JarvanIV,Lulu,Jinx,Braum,Maokai,Vi,Karthus,Graves,Leona,LeeSin, Rumble, Nidalee,,,Lissandra, RekSai, Morgana,,
68,Rumble,RekSai,Leblanc,Graves,Thresh,Maokai,JarvanIV,Viktor,Corki,Leona,Kennen, Zed, Lissandra,,,Fizz, Hecarim, Morgana,,
69,Kennen,Vi,Zed,Kalista,Thresh,Irelia,LeeSin,Ahri,Graves,Janna,Morgana, Leblanc, Maokai,,,Lissandra, RekSai, Hecarim,,
70,Irelia,Gragas,Chogath,Lucian,Leona,Rumble,Nidalee,Yasuo,Graves,Janna,LeeSin, Sejuani, Karthus,,,Lissandra, RekSai, Rengar,,
71,DrMundo,RekSai,Cassiopeia,Kalista,Janna,Maokai,Vi,Lissandra,Lucian,Nautilus,Rumble, Zed, Nidalee,,,Kennen, Morgana, Lulu,,
72,DrMundo,RekSai,Zed,Lucian,Lulu,Maokai,Nunu,Urgot,Corki,Thresh,Morgana, Hecarim, Sejuani,,,Nidalee, Sivir, Annie,,
73,Sion,Vi,Ahri,Kalista,Thresh,Hecarim,Zac,Leblanc,Tristana,Janna,Sivir, Annie, Zed,,,Nidalee, Lulu, Maokai,,
74,Lulu,Sejuani,Karthus,Lucian,Janna,Gragas,Vi,Orianna,Graves,Morgana,Leblanc, Nidalee, Irelia,,,Maokai, Hecarim, RekSai,,
75,Sion,Zac,Xerath,Tristana,Janna,Hecarim,Sejuani,Fizz,Sivir,Morgana,Maokai, Nidalee, Nunu,,,Annie, Leblanc, Ahri,,
76,Lulu,Sejuani,Zed,Corki,Thresh,Kennen,RekSai,Ahri,Jinx,Janna,Hecarim, Morgana, Sion,,,Sivir, Annie, Maokai,,
77,Vladimir,Sejuani,Lulu,Graves,Thresh,Maokai,Nunu,Corki,Lucian,Nautilus,Zed, Nidalee, Lissandra,,,Leblanc, Morgana, RekSai,,
78,Hecarim,Nidalee,Yasuo,Graves,Thresh,Lulu,Nunu,Zed,Twitch,Janna,Maokai, Sejuani, RekSai,,,Karthus, Rumble, Leona,,
79,Lissandra,Gragas,Yasuo,KogMaw,Alistar,Lulu,Nunu,Ahri,Vayne,Janna,Kennen, RekSai, Sejuani,,,Nidalee, Maokai, Rengar,,
80,Irelia,Nunu,Rumble,Caitlyn,Morgana,Kennen,Sejuani,Zed,Lucian,Nautilus,Nidalee, Lissandra, Maokai,,,Vladimir, Urgot, Hecarim,,
81,Maokai,RekSai,Orianna,Graves,Thresh,Rumble,Sejuani,Corki,Sivir,Lulu,Kalista, Sion, Ahri,,,Leblanc, Nidalee, Gragas,,
82,Sion,Nidalee,Ezreal,Caitlyn,Nautilus,Renekton,RekSai,Vladimir,Graves,Annie,Nunu, Hecarim, Sejuani,,,Lulu, Maokai, Urgot,,
83,Sion,RekSai,Cassiopeia,Twitch,Nautilus,Lulu,Nidalee,Urgot,KogMaw,Janna,Zed, Annie, Leblanc,,,Rengar, Maokai, Sejuani,,
84,Rumble,RekSai,Leblanc,Graves,Janna,Sion,Zac,Katarina,Lucian,Annie,Hecarim, Sejuani, Vi,,,Karthus, LeeSin, Nidalee,,
85,Sion,LeeSin,Chogath,Sivir,Lulu,Lissandra,Gragas,Urgot,Varus,Janna,Rengar, Irelia, Sejuani,,,Maokai, Hecarim, Nidalee,,
86,Maokai,Vi,Lissandra,Lucian,Nautilus,Kennen,RekSai,Chogath,Graves,Leona,Lulu, Nidalee, Zed,,,Rumble, Sejuani, Morgana,,
87,Kennen,Zac,Diana,Sivir,Thresh,Hecarim,Sejuani,Lissandra,Kalista,Annie,Nidalee, RekSai, Lulu,,,Sion, Maokai, Rumble,,
88,Rumble,Nunu,Vladimir,Graves,Thresh,Gragas,RekSai,Lissandra,Sivir,Morgana,Nidalee, Orianna, Leblanc,,,Urgot, Hecarim, Sejuani,,
89,Jax,RekSai,Lulu,Kalista,Alistar,Rumble,Vi,Corki,Graves,Leona,Karthus, Nidalee, LeeSin,,,Sion, Sejuani, Morgana,,
90,Hecarim,RekSai,Lissandra,Corki,Thresh,Lulu,Sejuani,Zed,Lucian,Janna,Annie, Vladimir, Maokai,,,Orianna, Leblanc, Rumble,,
91,Maokai,Zac,JarvanIV,Draven,Morgana,Hecarim,Vi,Lissandra,Vayne,Alistar,Lulu, Corki, Sejuani,,,Zed, Rumble, Nidalee,,
92,Rumble,Gragas,KogMaw,Sivir,Nautilus,Maokai,RekSai,Viktor,Urgot,Thresh,Leblanc, Kalista, Hecarim,,,Alistar, Sejuani, Ashe,,
93,Rumble,RekSai,Azir,Corki,Thresh,Gnar,Gragas,Cassiopeia,Kalista,Annie,,,,,,KogMaw, Nidalee, Evelynn,,
94,Maokai,LeeSin,KogMaw,Ashe,Alistar,Hecarim,Sejuani,Azir,Kalista,Annie,Thresh, RekSai, JarvanIV,,,Gragas, Leblanc, Bard,,
95,Gnar,RekSai,Ziggs,Urgot,Thresh,Yasuo,Evelynn,Fizz,Sivir,Alistar,Rumble, Kassadin, Kalista,,,Gragas, Maokai, Leblanc,,
96,Hecarim,Nunu,Fizz,Sivir,Thresh,Rumble,Sejuani,Kassadin,Vayne,Nautilus,Irelia, Leblanc, Kalista,,,Alistar, RekSai, Gragas,,
97,Rumble,Nunu,Cassiopeia,Sivir,Thresh,Irelia,Sejuani,Vladimir,Graves,Nautilus,Leblanc, Hecarim, Urgot,,,Kalista, Gragas, RekSai,,
98,Gnar,Zac,Vladimir,Kalista,Nautilus,Maokai,RekSai,KogMaw,Ashe,Thresh,Leblanc, Gragas, Rumble,,,Annie, Alistar, Hecarim,,
99,Hecarim,Evelynn,Leblanc,Sivir,Alistar,Gnar,Sejuani,Azir,Kalista,Thresh,Maokai, Bard, Gragas,,,Fizz, RekSai, Yasuo,,
100,Rumble,Sejuani,Viktor,Sivir,Alistar,Hecarim,Evelynn,Kassadin,Kalista,Morgana,Irelia, KogMaw, RekSai,,,Gragas, Cassiopeia, Leblanc,,
101,Vladimir,Gragas,Viktor,Lucian,Thresh,Hecarim,LeeSin,Malphite,Jinx,Alistar,,,,,,Nidalee, Evelynn,,,
102,Irelia,Gragas,Varus,Corki,Nautilus,Ryze,RekSai,Azir,Kalista,Thresh,Leblanc, Sejuani, Alistar,,,Hecarim, Nidalee, KogMaw,,
103,Ryze,Sejuani,Viktor,Ezreal,Nautilus,Maokai,RekSai,TwistedFate,Sivir,Thresh,Hecarim, Alistar, Fizz,,,Gragas, Kalista, Azir,,
104,Gnar,RekSai,Leblanc,Vayne,Annie,Rumble,LeeSin,Azir,Sivir,Thresh,Fizz, Yasuo, Alistar,,,Gragas, Kalista, Ryze,,
105,Maokai,Sejuani,Ziggs,Kalista,Nautilus,Rumble,RekSai,Varus,Sivir,Thresh,Bard, Ryze, Alistar,,,Irelia, Leblanc, Gragas,,
106,Ryze,Zac,Azir,Kalista,Morgana,Irelia,Gragas,Varus,Corki,Nautilus,Evelynn, Nidalee, Thresh,,,Gnar, Alistar, RekSai,,
107,Maokai,Gragas,Azir,Lucian,Nautilus,Rumble,Sejuani,Leblanc,Sivir,Janna,Alistar, Fizz, Yasuo,,,Kalista, Ryze, RekSai,,
108,Maokai,RekSai,Cassiopeia,Vayne,Janna,Ryze,JarvanIV,Urgot,Sivir,Alistar,Fizz, Thresh, Hecarim,,,Kalista, Leblanc, Gragas,,
109,Maokai,LeeSin,Azir,Kalista,Nautilus,Gnar,RekSai,Leblanc,Sivir,Bard,Rumble, Gragas, Alistar,,,Ryze, Yasuo, Thresh,,
110,Rumble,Sejuani,Orianna,Ashe,Thresh,Irelia,Gragas,Leblanc,Kalista,Bard,Hecarim, KogMaw, Varus,,,Nidalee, Ryze, Alistar,,
111,Rumble,RekSai,Azir,Sivir,Nautilus,Gnar,Zac,KogMaw,Ezreal,Thresh,Alistar, Kalista, JarvanIV,,,Irelia, Leblanc, Ryze,,
112,Gnar,RekSai,Ekko,Sivir,Janna,Hecarim,Nunu,Azir,Jinx,Thresh,Leblanc, Kalista, Kassadin,,,Gragas, Ryze, Alistar,,
113,Hecarim,Gragas,Ekko,Kalista,Bard,Fizz,RekSai,KogMaw,Sivir,Morgana,Azir, Rumble, Alistar,,,Leblanc, Ryze, Maokai,,
114,Hecarim,Ekko,Leblanc,Corki,Alistar,Fizz,Nunu,Azir,Lucian,Nautilus,Rumble, Sivir, Gragas,,,Ryze, Kalista, RekSai,,
115,Maokai,LeeSin,Leblanc,Sivir,Alistar,DrMundo,Nidalee,Viktor,Lucian,Janna,Kalista, Gragas, Ryze,,,,,,,
116,Hecarim,JarvanIV,Rumble,Sivir,Alistar,Ekko,Gragas,Lulu,Ashe,Bard,Leblanc, Azir, RekSai,,,Urgot, TwistedFate, Ryze,,
117,Maokai,Gragas,Varus,Jinx,Karma,Fizz,Nunu,Azir,Corki,Alistar,Leblanc, Hecarim, Sivir,,,Rumble, Ryze, Kalista,,
118,Rumble,RekSai,Ekko,Kalista,Annie,Vladimir,Gragas,Yasuo,Corki,Malphite,Nidalee, Thresh, Evelynn,,,Alistar, Ryze, Leblanc,,
119,Rumble,LeeSin,Kassadin,Kalista,Annie,Hecarim,Sejuani,Leblanc,Tristana,Nautilus,Ekko, RekSai, Gragas,,,Alistar, Ryze, Sivir,,
120,Maokai,RekSai,Azir,Kalista,Annie,Rumble,Gragas,JarvanIV,Tristana,Nautilus,Urgot, TwistedFate, Sivir,,,Ryze, Leblanc, Alistar,,
121,Gnar,Nunu,Azir,Sivir,Bard,Hecarim,RekSai,Xerath,Vayne,Janna,Irelia, Gragas, Alistar,,,Kalista, Ryze, Ekko,,
122,Hecarim,XinZhao,TwistedFate,Corki,Alistar,Ekko,RekSai,Varus,Graves,Janna,Rumble, Nidalee, Sivir,,,Kalista, Ryze, Gragas,,
123,Rumble,RekSai,Azir,Corki,Nautilus,Gnar,Gragas,KogMaw,Kalista,Alistar,,,,,,Ryze, Nidalee, Vladimir,,
124,Rumble,Sejuani,Jayce,Kalista,Annie,Gnar,RekSai,Azir,Corki,Alistar,Nidalee, Sivir, Gragas,,,Ryze, Ekko, Hecarim,,
125,Ekko,RekSai,Urgot,Vayne,Thresh,Hecarim,Gragas,Viktor,Sivir,Nautilus,Irelia, Kalista, Alistar,,,JarvanIV, Rumble, Ryze,,
126,Rumble,Sejuani,Jayce,Jinx,Annie,Maokai,Nidalee,Azir,Sivir,Thresh,Gragas, Kalista, Alistar,,,Ryze, Ekko, Hecarim,,
127,Rumble,Gragas,Varus,Kalista,Thresh,Irelia,Evelynn,Azir,Corki,Alistar,Nidalee, Vladimir, Ryze,,,,,,,
128,Rumble,XinZhao,Urgot,Tristana,Thresh,Gnar,RekSai,Azir,Kalista,Annie,Irelia, Alistar, Gragas,,,Ryze, Ekko, Hecarim,,
129,Gnar,RekSai,KogMaw,Ashe,Alistar,Fizz,Ekko,Azir,Sivir,Nautilus,Rumble, Gragas, Nidalee,,,Ryze, Kalista, Bard,,
130,Hecarim,RekSai,Nidalee,Kalista,Thresh,Rumble,Gragas,Yasuo,Corki,Nautilus,Ekko, Sivir, Alistar,,,Ryze, Sejuani, Annie,,
131,Rumble,Sejuani,Jayce,Kalista,Thresh,JarvanIV,RekSai,Lulu,Corki,Nautilus,KogMaw, Sivir, Gragas,,,Ryze, Azir, Alistar,,
132,Maokai,Nocturne,Kassadin,Sivir,Nautilus,Rumble,Evelynn,Hecarim,Jinx,Thresh,RekSai, Alistar, Kalista,,,Ryze, Annie, Gragas,,
133,Sion,Ekko,Azir,Sivir,Annie,Gnar,Evelynn,TwistedFate,Ashe,Bard,Alistar, KogMaw, RekSai,,,Ryze, Kalista, Gragas,,
134,Gnar,JarvanIV,Azir,Kalista,Thresh,Shen,Nocturne,Viktor,Sivir,Annie,Irelia, RekSai, Alistar,,,Ryze, Ekko, Gragas,,
135,Fizz,RekSai,Viktor,Ashe,Annie,Gnar,Ekko,Azir,Sivir,Thresh,Alistar, Vladimir, Gragas,,,Ryze, Rumble, Kalista,,
136,Hecarim,RekSai,Azir,Sivir,Nautilus,Rumble,Sejuani,Jayce,Jinx,Annie,Gragas, Shen, Kassadin,,,JarvanIV, Alistar, Ryze,,
137,Hecarim,Gragas,Orianna,Sivir,Janna,Gnar,RekSai,Viktor,Vayne,Alistar,Azir, Annie, Kalista,,,Urgot, Ryze, Rumble,,
138,Maokai,LeeSin,Orianna,Sivir,Alistar,Rumble,Nocturne,Viktor,Jinx,Annie,RekSai, Azir, Ekko,,,Ryze, Kalista, Gragas,,
139,Rumble,JarvanIV,Azir,Tristana,Alistar,Gnar,Evelynn,KogMaw,Sivir,Thresh,Ekko, RekSai, Bard,,,Kalista, Gragas, Ryze,,
140,Vladimir,Gragas,Viktor,Sivir,Nautilus,Hecarim,RekSai,Azir,Corki,Thresh,Rumble, JarvanIV, Kalista,,,Ryze, Alistar, TwistedFate,,
141,Shen,RekSai,Vladimir,Kalista,Morgana,Nautilus,Olaf,Varus,Sivir,Annie,Kassadin, Gragas, Alistar,,,Viktor, Azir, Ryze,,
142,Nautilus,Nidalee,Ahri,Graves,Alistar,Shen,Gragas,Ezreal,Corki,Braum,RekSai, Rumble, Kalista,,,Sivir, Ryze, Yasuo,,
143,Lulu,Evelynn,Viktor,Tristana,Alistar,Nautilus,Gragas,Ezreal,Sivir,Thresh,Rumble, Nidalee, Kalista,,,Ryze, Vladimir, Irelia,,
144,Fizz,RekSai,TwistedFate,Tristana,Alistar,Nautilus,Gragas,Yasuo,Corki,Annie,Sivir,,,,,Ryze, Kalista, Rumble,,
145,Rumble,Gragas,Lulu,Jinx,Alistar,Nautilus,Nidalee,Orianna,Sivir,Shen,Urgot, TwistedFate, Hecarim,,,Ryze, Azir, Kalista,,
146,Shen,Evelynn,Diana,Ezreal,Annie,Irelia,RekSai,Kassadin,Sivir,Nautilus,Azir, Gragas, Alistar,,,Ryze, Kalista, Thresh,,
147,Shen,RekSai,Ahri,Kalista,Annie,Rumble,Gragas,Diana,Tristana,Nautilus,Sivir, Vladimir, Azir,,,Ryze, Alistar, Ezreal,,
148,Rumble,Gragas,Lulu,Jinx,Morgana,Gnar,Nidalee,Ezreal,Sivir,Janna,Nautilus, Maokai, Shen,,,Kalista, Ryze, Alistar,,
149,Gnar,Gragas,Ezreal,Corki,Annie,Maokai,Nidalee,JarvanIV,Sivir,Shen,Urgot, Nautilus, Alistar,,,Ryze, Azir, Kalista,,
150,Shen,Evelynn,Ezreal,Varus,Alistar,Maokai,RekSai,TwistedFate,Sivir,Thresh,Gragas, Nautilus, Annie,,,Ryze, Kalista, Diana,,
151,Shen,JarvanIV,Ezreal,Graves,Thresh,Rumble,LeeSin,Zed,Corki,Alistar,RekSai, Sivir, TwistedFate,,,Ryze, Kalista, Gragas,,
152,Gnar,Gragas,Azir,Sivir,Janna,Maokai,RekSai,Ezreal,Vayne,Alistar,Vladimir, Diana, Nautilus,,,Ryze, Annie, Kalista,,
153,Nautilus,RekSai,Ezreal,Corki,Braum,Fizz,Gragas,Orianna,Tristana,Janna,Sivir, Alistar, TwistedFate,,,Ryze, Shen, Kalista,,
154,Maokai,Nidalee,Urgot,Sivir,Shen,Rumble,RekSai,Viktor,Vayne,Braum,Fizz, TwistedFate, Azir,,,Ryze, Kalista, Nautilus,,
155,Maokai,Gragas,Azir,Kalista,Thresh,Nautilus,Vi,Ezreal,Jinx,Shen,Sivir, Yasuo, Gnar,,,Ryze, Fizz, Alistar,,
156,Gnar,LeeSin,TwistedFate,Sivir,Shen,Rumble,JarvanIV,Varus,Corki,Alistar,RekSai, Kalista, Gragas,,,Nidalee, Ryze, Maokai,,
157,Irelia,Gragas,Ahri,KogMaw,Janna,Maokai,RekSai,Azir,Tristana,Braum,Nidalee, Sivir, JarvanIV,,,Ryze, Kalista, Shen,,
158,Maokai,Rengar,Orianna,Kalista,Karma,JarvanIV,LeeSin,Diana,Sivir,Nautilus,Annie, Alistar, RekSai,,,TwistedFate, Ryze, Fizz,,
