,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,b1,b2,b3,b4,b5,r1,r2,r3,r4,r5
5147,Ryze,Hecarim,TwistedFate,Lucian,Bard,Swain,RekSai,Ahri,Ashe,Soraka,Azir, Kindred, Irelia,,,Viktor, Trundle, Vladimir,,
5148,Trundle,Graves,TwistedFate,Ashe,Karma,Fiora,RekSai,Azir,Ezreal,Nami,,,,,,Swain, Ryze, Vladimir,,
5149,Maokai,RekSai,Viktor,Lucian,Karma,Irelia,Elise,Fizz,Sivir,Nami,Ryze, Swain, Trundle,,,Vladimir, Azir, Nidalee,,
5150,Trundle,Elise,Viktor,Sivir,Zyra,Irelia,RekSai,Azir,Ezreal,Karma,Nidalee, Swain, Vladimir,,,Fiora, Bard, Ryze,,
5151,Trundle,Graves,Vladimir,Lucian,Braum,Ekko,RekSai,Azir,Sivir,Leona,Fiora, Bard, Nami,,,Nidalee, Swain, Karma,,
5152,Trundle,RekSai,Vladimir,Lucian,Janna,Irelia,Hecarim,Cassiopeia,Sivir,Karma,Nidalee, Swain, Azir,,,Fiora, Bard, Ryze,,
5153,Jax,Elise,Viktor,Ezreal,Karma,Shen,RekSai,TwistedFate,Ashe,Nami,Zed, Diana, Swain,,,Vladimir, Ryze, Azir,,
5154,Trundle,Kindred,Viktor,Sivir,Nami,Shen,RekSai,Varus,Ashe,Karma,Vladimir, Azir, Jax,,,TwistedFate, Zed, Ryze,,
5155,Olaf,RekSai,Azir,Sivir,Thresh,Trundle,Elise,Diana,Ashe,Alistar,TwistedFate, Zed, Shen,,,Vladimir, Ryze, Karma,,
5156,Trundle,Elise,Azir,Jhin,Braum,Gnar,RekSai,Leblanc,Sivir,Karma,Bard, Lucian, Ezreal,,,Vladimir, TwistedFate, Kindred,,
5157,Trundle,Gragas,Azir,Jinx,Leona,Irelia,Elise,Kassadin,Jhin,Nami,TwistedFate, Karma, Vladimir,,,Lucian, Bard, Ezreal,,
5158,Shen,Hecarim,Viktor,Ashe,Karma,Jax,RekSai,Kassadin,Sivir,Nami,Diana, TwistedFate, Trundle,,,Nidalee, Ryze, Vladimir,,
5159,Gragas,RekSai,Ryze,Lucian,Thresh,Irelia,Hecarim,Swain,Sivir,Karma,Nidalee, Vladimir, Azir,,,Jax, Diana, Shen,,
5160,Irelia,RekSai,Viktor,Lucian,Bard,Nautilus,Gragas,Azir,Ashe,Karma,Trundle, Shen, Jax,,,TwistedFate, Ezreal, Vladimir,,
5161,Shen,Elise,Ryze,Ashe,Karma,Jax,RekSai,Swain,Jhin,Bard,TwistedFate, Irelia, Ekko,,,Vladimir, Azir, Viktor,,
5162,Irelia,RekSai,Zilean,Sivir,Bard,Shen,Gragas,Varus,Ashe,Nami,Viktor, Jax, Vladimir,,,TwistedFate, Swain, Azir,,
5163,Rumble,Hecarim,Viktor,Sivir,Karma,Illaoi,RekSai,Azir,Ashe,Soraka,Shen, Leblanc, Jhin,,,Jax, Vladimir, Elise,,
5164,Shen,Hecarim,Zilean,Twitch,Karma,Irelia,RekSai,Azir,Jhin,Soraka,Jax, Elise, Fiora,,,Ashe, Trundle, Vladimir,,
5165,Trundle,Elise,Cassiopeia,Ezreal,Soraka,Swain,Graves,Taliyah,Jhin,Bard,Ashe, Leblanc, Azir,,,Jax, Vladimir, RekSai,,
5166,Trundle,RekSai,Ryze,Ezreal,Braum,Shen,LeeSin,Viktor,Jhin,Morgana,Leblanc, Bard, Irelia,,,Azir, Vladimir, Karma,,
5167,Trundle,Elise,Viktor,Lucian,Bard,Gnar,RekSai,Ryze,Ezreal,Braum,Azir, Karma,,,,Vladimir, Leblanc, Irelia,,
5168,Trundle,RekSai,Viktor,Ezreal,Janna,Irelia,Elise,Ryze,Lucian,Soraka,Bard, Leblanc,,,,Azir, Karma, Vladimir,,
5169,Jax,Gragas,TwistedFate,Sivir,Karma,Trundle,RekSai,Viktor,Ezreal,Braum,Shen, Leblanc, Jhin,,,Elise, Vladimir, Azir,,
5170,Illaoi,RekSai,Karma,Jhin,Thresh,Trundle,Zac,TwistedFate,Ezreal,Braum,Elise, Jax, Azir,,,Shen, Leblanc, Vladimir,,
5171,Swain,Gragas,Jhin,Ezreal,Karma,Trundle,Graves,Azir,Sivir,Soraka,Shen, Leblanc, Illaoi,,,Elise, Vladimir, Jax,,
5172,Irelia,RekSai,Kassadin,Ezreal,Bard,Riven,Elise,Viktor,Jhin,Karma,Azir, Jax, TwistedFate,,,Vladimir, Swain, Shen,,
5173,Jax,Zac,Vladimir,Jhin,Karma,Irelia,Elise,Viktor,Ezreal,Bard,Kalista, Swain, Ryze,,,Azir, RekSai, TwistedFate,,
5174,Nautilus,Nidalee,Ryze,Ashe,Thresh,Jax,Graves,Swain,Jhin,Soraka,Vladimir, Karma, Azir,,,RekSai, TwistedFate, Shen,,
5175,Gangplank,RekSai,Viktor,Sivir,Braum,Shen,Nidalee,Zed,Jhin,Bard,Thresh, Ashe, Ryze,,,Vladimir, Azir, Karma,,
5176,Shen,RekSai,Viktor,Ezreal,Alistar,Trundle,Elise,Cassiopeia,Sivir,Braum,Vladimir, Azir, Karma,,,Thresh, Ashe, Ryze,,
5177,Trundle,Elise,Viktor,Ezreal,Bard,Jax,RekSai,Ryze,Sivir,Nami,Shen, Irelia, Karma,,,Azir, Jhin, Vladimir,,
5178,Irelia,RekSai,Viktor,Ezreal,Braum,Trundle,Elise,Leblanc,Lucian,Karma,Jhin, Azir, Bard,,,Ryze, Vladimir, Hecarim,,
